Country,iso_country,meta_link
Guernsey,GGY,https://data.humdata.org/dataset/ef7a86a3-dbdf-41fb-b5b8-67365d25e4d2/resource/80e34151-fdac-4b11-9973-5d867029b408/download/ggy_general_2020_geotiff.zip
Guinea,GIN,https://data.humdata.org/dataset/a5d2ae5d-1ac9-42c6-bda6-82a530761555/resource/c14b24db-f3bd-4ed5-90e0-c40ef2876a89/download/gin_general_2020_geotiff.zip
Guinea-Bissau,GNB,https://data.humdata.org/dataset/4c9a5742-52cc-442b-b29b-5d37b819eff4/resource/1f122c4a-6159-474d-9558-e28bdfcfaeb1/download/gnb_general_2020_geotiff.zip
Guyana,GUY,https://data.humdata.org/dataset/e8f61f7d-4c4b-40ae-bebe-370c2dd669da/resource/93172335-fd47-4991-8d39-33b95c262e1f/download/guy_general_2020_geotiff.zip
Haiti,HTI,https://data.humdata.org/dataset/8647b7d7-84de-4002-8f6c-0ff9c13e5717/resource/95c60564-4254-4659-8ccd-c3330d824bf5/download/population_hti_2018-10-01.zip
Heard And McDonald Islands,HMD,no file
Holy See (Vatican City State),VAT,no file
Honduras,HND,https://data.humdata.org/dataset/12004697-1c31-487b-a49f-b96e8fd646c9/resource/682d5372-d5eb-4175-9e54-b1dbf5834314/download/population_hnd_2018-10-01.zip
Hong Kong,HKG,https://data.humdata.org/dataset/dfd44ffe-bf3e-4a00-b69d-889e020918f7/resource/995ea9ac-51b4-4f31-b41c-cd6c20524f0a/download/population_hkg_2018-10-01_geotiff.zip
Hungary,HUN,no file
Iceland,ISL,https://data.humdata.org/dataset/e48cb68b-80d7-40d7-8184-f6dbe73488e4/resource/5b5ff2b2-72df-4f1c-b12e-f10229421dae/download/population_isl_2019-07-01_geotiff.zip
India,IND,https://data.humdata.org/dataset/2c8cfe67-448f-4a27-94b3-aaa944598cba/resource/e3dbe673-4117-4243-93a8-3366c6e6396b/download/population_ind_pak_general.zip
Indonesia,IDN,no file
Iran (Islamic Republic Of),IRN,no file
Iraq,IRQ,https://data.humdata.org/dataset/8ed6a074-e44e-4480-a405-8d6d4d4f672a/resource/89fdce6b-b8ed-4cfd-88e8-0d0c34209595/download/population_irq_2019-07-01_geotiff.zip
Ireland,IRL,https://data.humdata.org/dataset/51bd8e7b-b7a2-4efa-8f1f-7e2361633945/resource/2e51dfe3-82c7-4ad2-91ba-42ebcd121dab/download/population_irl_2019-07-01_geotiff.zip
Isle of Man,IMN,no file
Israel,ISR,no file
Italy,ITA,no file
Jamaica,JAM,https://data.humdata.org/dataset/f45181ca-61b0-4132-bc01-52461944c3aa/resource/a308593f-3bb6-45db-9b2d-710cb193217e/download/population_jam_2018-10-01.zip
Japan,JPN,https://data.humdata.org/dataset/f2b91ef3-de2e-4859-8637-92697cafe865/resource/0319149b-0b81-4f95-8816-492773037ecb/download/jpn_population_2020_geotiff.zip
Jersey,JEY,no file
Jordan,JOR,https://data.humdata.org/dataset/b05f91f7-1206-49d7-ae57-30daf2973363/resource/0b5bfad1-7fcd-44fb-b97d-04a065ca7abf/download/population_jor_2019-07-01_geotiff.zip
Kazakhstan,KAZ,https://data.humdata.org/dataset/6c7448f7-2f09-489d-b53a-65a0d3c26289/resource/65e21e2d-6329-4ab8-8ee5-a0ee4e6d49c6/download/population_kaz_2018-10-01_geotiff.zip
Kenya,KEN,https://data.humdata.org/dataset/2964b369-c10c-4b55-94a8-495de3fc9858/resource/1271b53b-30be-4c4b-aa27-1bd104506636/download/ken_general_2020_geotiff.zip
Kiribati,KIR,https://data.humdata.org/dataset/061e6a48-793e-4999-b500-b390300e37c4/resource/1dd9cf02-24f3-45d8-9a21-46464cce0b9d/download/population_kir_2018-10-01_geotiff.zip
Korea (Republic Of),KOR,https://data.humdata.org/dataset/97777cbe-1a07-4e0c-911a-9f781d4d3874/resource/ec622d97-af6b-4c04-9b50-f6573b003e24/download/population_kor_2018-10-01_geotiff.zip
Kuwait,KWT,https://data.humdata.org/dataset/fa1f8ca3-1e68-4fbf-93ca-a35d7e9f8f6c/resource/eb1b784a-ed29-487b-a737-196fd9559a1b/download/population_kwt_2019-07-01_geotiff.zip
Kyrgyzstan,KGZ,https://data.humdata.org/dataset/5d8b12a0-1f37-4b03-b1a2-d1c9f88f502b/resource/5ac43bee-1250-46bf-8f05-f4379e3c4c40/download/population_kgz_2018-10-01_geotiff.zip
Lao People's Democratic Republic,LAO,https://data.humdata.org/dataset/2d9c5596-151a-4c8d-af6d-4ab3492c6cc7/resource/70c7a422-1716-4f92-849f-c3a1cd3e8368/download/lao_general_2020_geotiff.zip
Latvia,LVA,https://data.humdata.org/dataset/957959c4-508d-4193-b6e9-e172c40c7861/resource/675a98ba-5cee-4e5b-89db-f848053d6914/download/population_lva_2019-07-01_geotiff.zip
Lebanon,LBN,https://data.humdata.org/dataset/1786284d-80a1-4d7c-9634-3c88c10603e8/resource/318dde5c-fa7b-453b-a4c1-313cc60dccea/download/population_lbn_2019-07-01_geotiff.zip
Lesotho,LSO,https://data.humdata.org/dataset/30582cb9-dc92-45aa-88f8-5501fb748a31/resource/885d1d48-4611-47fc-88f9-8d3832da40b9/download/population_lso_2019-07-01_geotiff.zip
Liberia,LBR,https://data.humdata.org/dataset/253b4335-2ccf-40b7-b94b-08abd40401ec/resource/8cee26d3-4c79-47f0-8657-d7405bdb7448/download/population_lbr_2018-10-01.zip
Libya,LBY,https://data.humdata.org/dataset/3aa70182-5982-4161-8651-e68f92f1e0bc/resource/26108697-2cc5-4bfb-abf4-58d850d46667/download/population_lby_2018-10-01.zip
Liechtenstein,LIE,https://data.humdata.org/dataset/fa40497b-a3b3-4163-9b6c-73b47c5c26ee/resource/78266a65-a0b1-4139-acef-3aed451e27cb/download/population_lie_2019-07-01_geotiff.zip
Lithuania,LTU,https://data.humdata.org/dataset/be3109b2-3f8b-4a19-b87a-99cb6b440024/resource/f9fb3b41-2f3c-4ce3-9ffc-b2dda44712c2/download/population_ltu_2019-07-01_geotiff.zip
Luxemburg,LUX,no file
Macau,MAC,no file
Madagascar,MDG,no file
