country_name,iso_code,url
Seychelles,SYC,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Seychelles.zip
Sierra Leone,SLE,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sierra%20Leone.zip
Slovakia,SVK,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Slovakia.zip
Slovenia,SVN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Slovenia.zip
Somalia,SOM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Somalia.zip
South Africa,ZAF,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/South%20Africa.zip
South Sudan,SSD,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/South%20Sudan.zip
Spain,ESP,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Spain.zip
Sri Lanka,LKA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sri%20Lanka.zip
St Kitts and Nevis,KNA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/St%20Kitts%20and%20Nevis.zip
St Martin,SXM,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/St%20Martin.zip
St Vincent and the Grenadines,VCT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/St%20Vincent%20and%20the%20Grenadines.zip
State of Qatar,QAT,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/State%20of%20Qatar.zip
Sudan,SDN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sudan.zip
Oman,OMN,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sultanate%20of%20Oman.zip
Suriname,SUR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Suriname.zip
Eswatini,SWZ,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Swaziland.zip
Sweden,SWE,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Sweden.zip
Switzerland,CHE,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Switzerland.zip
Syria,SYR,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Syria.zip
São Tomé and Príncipe,STP,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/S%C3%A3o%20Tom%C3%A9%20and%20Pr%C3%ADncipe.zip
Tajikistan,TJK,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Tajikistan.zip
Tanzania,TZA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Tanzania.zip
Thailand,THA,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Thailand.zip
Bahamas,BHS,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/The%20Bahamas.zip
Gambia,GMB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/The%20Gambia.zip
Togo,TGO,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Togo.zip
